AccountNumber,TaxMap,GPIN,LUC,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,,,
135,58-1-0-99-0,7726-22-0115,SNGL FAM SUB,0.84,AC,16300,0,16300,0,0,16300,14100,0,14100,0,0,14100,A2,AG/LTD,,,
137,28-9-0-3-0,6729-83-7936,SNGL FAM SUB,2.232,AC,56200,0,56200,141700,32100,230000,53700,0,53700,116800,29200,199700,A1,AG/GEN,,,
138,58-3-A-8-0,7726-16-5631,SNGL FAM SUB,0.0001,AC,88000,0,88000,140600,15700,244300,80000,0,80000,116700,12100,208800,RN,RESIDEN,,,
139,58-1-0-20-0,7716-44-8741,AG 20-100 AC,25,AC,686000,438200,247800,553900,81000,1320900,595700,380000,215700,468500,75200,1139400,A2,AG/LTD,,,
140,58-1-0-23-0,7716-54-3491,SNGL FAM SUB,14.25,AC,634100,627200,6900,0,3000,637100,356700,350600,6100,0,3000,359700,A2,AG/LTD,,,
141,58-4-G-9-0,7716-55-4399,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
143,58-4-G-8-0,7716-55-4422,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
144,58-1-0-13-0,7716-26-9394,SNGL FAM SUB,3.3,AC,128200,0,128200,0,0,128200,119000,0,119000,0,0,119000,A2,AG/LTD,,,
145,58-4-A-21-A,7716-46-8828,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
146,58-4-C-15-0,7716-56-2682,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
147,58-4-C-16-0,7716-56-2601,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
148,58-4-D-5-A,7716-56-4404,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
149,58-4-E-14-0,7716-55-5967,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
150,58-4-F-9-0,7716-55-6772,SNGL FAM SUB,2.702,AC,162800,0,162800,0,0,162800,104000,0,104000,0,0,104000,A2,AG/LTD,,,
151,58-4-G-5-0,7716-55-2505,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
152,58-4-G-7-0,7716-55-3475,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
153,58-4-G-8-A,7716-55-4451,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
154,58-4-G-9-A,7716-55-5327,SNGL FAM SUB,0,AC,5000,0,5000,0,0,5000,4600,0,4600,0,0,4600,A2,AG/LTD,,,
155,58-4-G-13-0,7716-55-8298,SNGL FAM SUB,0,AC,20100,0,20100,0,0,20100,18300,0,18300,0,0,18300,A2,AG/LTD,,,
157,58-4-B-12-0,7716-45-9930,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
158,58-4-E-15-0,7716-55-4996,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
159,58-4-E-16-0,7716-55-4915,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
160,58-4-E-17-0,7716-55-3934,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
161,58-4-E-18-0,7716-55-2930,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
162,58-4-E-19-0,7716-55-1923,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
163,58-4-F-1-0,7716-55-3724,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
164,58-4-F-2-0,7716-55-3797,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
165,58-4-F-3-0,7716-55-4776,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
168,58-4-F-10-0,7716-55-7582,SNGL FAM SUB,1.547,AC,162800,0,162800,0,0,162800,104000,0,104000,0,0,104000,A2,AG/LTD,,,
176,58-4-F-18-0,7716-55-3687,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
177,58-4-G-1-0,7716-45-9629,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
178,58-4-G-2-0,7716-55-0702,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
179,58-4-G-3-0,7716-55-0790,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
180,58-4-G-4-0,7716-55-1621,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
181,58-4-G-6-0,7716-55-2499,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
182,58-4-G-10-0,7716-55-5384,SNGL FAM SUB,0,AC,10000,0,10000,0,0,10000,9100,0,9100,0,0,9100,A2,AG/LTD,,,
183,4-2-0-9-0,6813-19-6953,SNGL FAM SUB,3.66,AC,58100,0,58100,224100,7000,289200,57000,0,57000,191300,7000,255300,A1,AG/GEN,,,
184,2-3-0-17-0,6824-13-7358,SNGL FAM SUB,6.28,AC,61800,0,61800,195200,300,257300,60500,0,60500,167600,300,228400,A1,AG/GEN,,,
185,4-2-0-27-0,6813-39-9713,SNGL FAM SUB,3.45,AC,52700,0,52700,244500,1500,298700,51600,0,51600,205700,1100,258400,A1,AG/GEN,,,
